Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,78.800003,80.570000,78.190002,80.570000,59.564358,7864500
2003-01-03,80.699997,81.650002,80.209999,81.650002,60.362789,5962300
2003-01-06,81.900002,84.800003,81.809998,83.589996,61.796993,7921300
2003-01-07,83.949997,86.180000,83.750000,86.000000,63.578686,11906900
2003-01-08,85.550003,85.690002,84.070000,84.190002,62.240578,9508800
2003-01-09,84.750000,87.019997,84.750000,87.000000,64.317955,10711600
2003-01-10,85.849998,88.040001,85.699997,87.680000,64.820671,9955400
2003-01-13,88.309998,88.949997,87.349998,87.510002,64.695000,10499000
2003-01-14,87.230003,88.589996,87.220001,88.580002,65.486046,7569100
2003-01-15,88.580002,88.650002,86.949997,87.589996,64.754158,8146600
2003-01-16,87.400002,87.709999,85.379997,86.050003,63.615646,9904300
2003-01-17,83.739998,83.739998,81.180000,81.300003,60.104027,17331200
2003-01-21,81.300003,81.849998,80.500000,80.540001,59.542179,8926900
2003-01-22,80.000000,80.769997,79.389999,79.699997,58.921192,9432400
2003-01-23,80.150002,81.360001,79.800003,81.050003,59.919224,8371400
2003-01-24,80.599998,81.500000,78.820000,78.989998,58.396286,7748000
2003-01-27,77.989998,79.500000,77.610001,78.419998,57.974899,9307800
2003-01-28,78.500000,80.470001,78.360001,80.110001,59.224300,8017400
2003-01-29,79.500000,80.699997,78.570000,80.320000,59.379528,7755000
2003-01-30,81.300003,81.300003,78.300003,78.300003,57.886154,7349500
2003-01-31,77.699997,78.339996,77.019997,78.199997,57.812244,9744100
2003-02-03,78.199997,78.870003,77.750000,78.180000,57.797482,6683500
2003-02-04,78.180000,78.180000,76.250000,77.089996,56.991634,7216200
2003-02-05,77.849998,78.900002,76.870003,77.260002,57.117313,7427200
2003-02-06,77.110001,78.199997,76.510002,77.510002,57.413609,7755200
2003-02-07,77.970001,78.150002,76.610001,77.099998,57.109901,8296400
2003-02-10,77.099998,78.019997,76.449997,77.910004,57.709904,7949100
2003-02-11,78.300003,78.970001,77.309998,77.389999,57.324738,8598200
2003-02-12,77.500000,78.089996,76.500000,76.500000,56.665474,5609200
2003-02-13,76.099998,76.349998,74.309998,75.860001,56.191414,11218400
2003-02-14,76.400002,77.449997,75.349998,77.449997,57.369152,8299500
2003-02-18,78.019997,79.500000,77.910004,79.330002,58.761734,7791200
2003-02-19,79.080002,79.699997,78.820000,79.510002,58.895073,5440300
2003-02-20,79.570000,80.050003,78.709999,79.150002,58.628399,6285100
2003-02-21,79.489998,80.000000,78.160004,79.949997,59.220993,7453900
2003-02-24,79.699997,79.989998,78.559998,78.559998,58.191387,6874700
2003-02-25,77.900002,79.370003,76.900002,79.070000,58.569134,7675900
2003-02-26,78.449997,79.050003,77.300003,77.400002,57.332096,8587000
2003-02-27,77.900002,78.589996,76.750000,77.279999,57.243240,9926500
2003-02-28,77.000000,78.470001,77.000000,77.949997,57.739525,6585200
2003-03-03,78.900002,79.000000,77.120003,77.330002,57.280270,6618300
2003-03-04,77.599998,77.750000,76.529999,76.699997,56.813629,5672200
2003-03-05,76.699997,77.730003,76.250000,77.730003,57.576565,6658000
2003-03-06,77.000000,77.779999,76.699997,77.070000,57.087688,5876300
2003-03-07,75.709999,77.989998,75.709999,77.900002,57.702496,8129200
2003-03-10,77.449997,77.449997,75.500000,75.699997,56.072903,6641300
2003-03-11,75.820000,76.330002,75.199997,75.349998,55.813641,8119200
2003-03-12,75.250000,75.629997,73.169998,75.180000,55.687710,12773700
2003-03-13,75.989998,78.680000,75.309998,78.449997,58.109913,10452500
2003-03-14,78.449997,79.480003,78.110001,79.000000,58.517277,10117700
2003-03-17,78.000000,82.669998,77.839996,82.459999,61.080181,15193000
2003-03-18,82.459999,83.500000,81.489998,82.470001,61.087608,10795400
2003-03-19,82.089996,82.500000,81.080002,82.000000,60.739475,10473100
2003-03-20,81.709999,82.489998,80.639999,82.199997,60.887604,9046400
2003-03-21,82.760002,84.900002,82.760002,84.900002,62.887573,12625400
2003-03-24,82.459999,83.349998,82.230003,82.250000,60.924637,9352600
2003-03-25,82.000000,84.000000,81.739998,83.449997,61.813526,8777100
2003-03-26,83.000000,83.250000,81.180000,81.550003,60.406143,10531600
2003-03-27,80.750000,82.330002,80.510002,81.449997,60.332058,7265800
2003-03-28,81.050003,81.989998,80.500000,80.849998,59.887650,6649200
2003-03-31,79.260002,79.610001,78.309998,78.430000,58.095078,10169200
2003-04-01,78.500000,79.559998,78.120003,78.730003,58.317307,7861400
2003-04-02,79.900002,81.970001,79.900002,81.459999,60.339474,9700100
2003-04-03,82.320000,83.480003,81.709999,81.910004,60.672802,9623600
2003-04-04,82.349998,82.550003,80.040001,80.790001,59.843185,8985000
2003-04-07,82.599998,82.900002,80.250000,80.470001,59.606159,8881400
2003-04-08,80.620003,80.699997,78.470001,80.070000,59.309853,8057600
2003-04-09,79.699997,80.739998,78.629997,78.709999,58.302490,8543200
2003-04-10,79.099998,79.250000,78.129997,79.010002,58.524704,6880100
2003-04-11,80.099998,81.290001,78.449997,78.750000,58.332096,7573500
2003-04-14,78.500000,80.070000,78.160004,80.070000,59.309853,9006000
2003-04-15,80.070000,82.849998,79.709999,82.790001,61.324623,13613500
2003-04-16,83.379997,84.400002,82.739998,82.879997,61.391312,10790700
